panel,model,probability,decile,mean_predicted,observed_fraction,threshold,net_benefit_raw,net_benefit_platt,treat_all,treat_none
b_decision_curve,XGBoost,,,,,0.13,0.024936684200272733,0.06528833041106565,0.008864211961815693,0.0
b_decision_curve,XGBoost,,,,,0.14,0.017154447510182625,0.06381388779398238,-0.0026606227828143703,0.0
b_decision_curve,XGBoost,,,,,0.15,0.00874459953472912,0.059945164506480554,-0.01445663010967102,0.0
b_decision_curve,XGBoost,,,,,0.16,0.0010256927629809062,0.05851493139628733,-0.026533494753833764,0.0
b_decision_curve,XGBoost,,,,,0.17,-0.0063686951194609,0.0566290586073106,-0.03890136818460285,0.0
b_decision_curve,XGBoost,,,,,0.18,-0.012892724266225728,0.05333643378806669,-0.05157089706490292,0.0
b_decision_curve,XGBoost,,,,,0.19,-0.01971298040036269,0.05128339262049244,-0.06455325381879054,0.0
b_decision_curve,XGBoost,,,,,0.2,-0.02736581920903955,0.04731638418079096,-0.07786016949152547,0.0
b_decision_curve,XGBoost,,,,,0.21,-0.033487091468211425,0.04396409926339126,-0.09150396910534223,0.0
b_decision_curve,XGBoost,,,,,0.22,-0.040924235839490085,0.040951397942923365,-0.10549760973489788,0.0
b_decision_curve,XGBoost,,,,,0.23,-0.04745395847090764,0.040928351309707234,-0.1198547215496368,0.0
b_decision_curve,XGBoost,,,,,0.24,-0.05203687184061849,0.03865596193874517,-0.13458965209634258,0.0
b_decision_curve,XGBoost,,,,,0.25,-0.058145009416195846,0.03660546139359699,-0.14971751412429382,0.0
b_decision_curve,XGBoost,,,,,0.26,-0.06465681783478394,0.03190372575965796,-0.16525423728813562,0.0
b_decision_curve,XGBoost,,,,,0.27,-0.07024417614735705,0.028147008745453138,-0.1812166241003019,0.0
b_decision_curve,XGBoost,,,,,0.28,-0.07436833019460141,0.02669883866917765,-0.1976224105461394,0.0
b_decision_curve,XGBoost,,,,,0.29,-0.08220438449908492,0.024971154611283516,-0.2144903318214372,0.0
b_decision_curve,XGBoost,,,,,0.3,-0.08635996771589992,0.02315375302663439,-0.2318401937046005,0.0
b_decision_curve,XGBoost,,,,,0.31,-0.0913370998116761,0.019994063702611968,-0.24969295013510193,0.0
b_decision_curve,XGBoost,,,,,0.32,-0.09359421734795616,0.01958707211698238,-0.2680707876370888,0.0
b_decision_curve,XGBoost,,,,,0.33,-0.09677776372375413,0.016432667172611513,-0.28699721730331407,0.0
b_decision_curve,XGBoost,,,,,0.34,-0.10011128231467219,0.013963790446841285,-0.3064971751412431,0.0
b_decision_curve,XGBoost,,,,,0.35,-0.10389504563233383,0.013961321164710988,-0.32659713168187754,0.0
b_decision_curve,XGBoost,,,,,0.36,-0.10893361581920907,0.013241525423728808,-0.347325211864407,0.0
b_decision_curve,XGBoost,,,,,0.37,-0.11345395031835712,0.013261142498430635,-0.36871132633844506,0.0
b_decision_curve,XGBoost,,,,,0.38,-0.11725441953708764,0.013645890286130852,-0.3907873154729361,0.0
b_decision_curve,XGBoost,,,,,0.39,-0.12046170232471985,0.013771186440677966,-0.4135871075298695,0.0
b_decision_curve,XGBoost,,,,,0.4,-0.12205743879472696,0.010946327683615814,-0.43714689265536744,0.0
b_decision_curve,XGBoost,,,,,0.41,-0.12454514986115106,0.008995259982763567,-0.4615053145647804,0.0
b_decision_curve,XGBoost,,,,,0.42,-0.127958796025716,0.010093999610364302,-0.48670368205727665,0.0
b_decision_curve,XGBoost,,,,,0.43,-0.12994350282485873,0.01080384577262365,-0.5127862027951233,0.0
b_decision_curve,XGBoost,,,,,0.44,-0.13486178369652946,0.010441888619854726,-0.5398002421307506,0.0
b_decision_curve,XGBoost,,,,,0.45,-0.13568952234206472,0.009983307652799178,-0.5677966101694916,0.0
b_decision_curve,XGBoost,,,,,0.46,-0.1371887424147311,0.009651600753295669,-0.5968298807281859,0.0
b_decision_curve,XGBoost,,,,,0.47,-0.1411296770067157,0.009260739793199019,-0.6269587464023025,0.0
b_decision_curve,XGBoost,,,,,0.48,-0.13860821382007824,0.007985658409387222,-0.6582464146023469,0.0
b_decision_curve,XGBoost,,,,,0.49,-0.1353785864628337,0.007262933421956351,-0.690761050182785,0.0
b_decision_curve,XGBoost,,,,,0.5,-0.1338276836158192,0.0049435028248587575,-0.7245762711864407,0.0
b_decision_curve,XGBoost,,,,,0.51,-0.12941744494407934,0.004129194050501556,-0.7597717052922864,0.0
b_decision_curve,XGBoost,,,,,0.52,-0.1260593220338983,0.002677730696798493,-0.7964336158192091,0.0
b_decision_curve,XGBoost,,,,,0.53,-0.12348990263252797,0.0024041351123933164,-0.8346556076451499,0.0
b_decision_curve,XGBoost,,,,,0.54,-0.12452407270940806,0.00294767870302137,-0.874539425202653,0.0
b_decision_curve,XGBoost,,,,,0.55,-0.12413684871311993,0.0024325172630257365,-0.9161958568738233,0.0
b_decision_curve,XGBoost,,,,,0.56,-0.12361967128916282,0.002471751412429378,-0.9597457627118646,0.0
b_decision_curve,XGBoost,,,,,0.57,-0.13019806858494287,0.00413053475233215,-1.005321245565629,0.0
b_decision_curve,XGBoost,,,,,0.58,-0.1334913909066452,0.004321361312886737,-1.0530669895076679,0.0
b_decision_curve,XGBoost,,,,,0.59,-0.1322688438748794,0.0018085985944605212,-1.1031417941298058,0.0
